STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
HARYANA,2006,873,585,59,608,635,104,224,410,4001,10518,1142,750,1424,35,156,5135,255,486,491,2254,0,1350,19014,50509
HIMACHAL PRADESH,2006,111,78,20,113,130,7,0,29,754,812,566,137,129,4,115,1261,3,275,31,259,0,499,7760,13093
JAMMU & KASHMIR,2006,487,854,40,250,789,10,0,112,1351,1937,1197,123,463,35,203,376,10,960,347,135,0,222,10886,20787
JHARKHAND,2006,1492,1078,97,799,635,536,45,779,1428,6173,2650,319,833,34,178,3055,281,414,44,668,5,1154,13667,36364
KARNATAKA,2006,1627,1484,68,400,563,202,247,1349,5967,14901,6183,471,2910,139,268,19488,244,1683,38,2129,0,534,56815,117710
KERALA,2006,393,347,87,601,294,129,125,691,4245,5431,6365,299,3316,68,435,19105,25,2543,222,3708,0,49,56777,105255
MADHYA PRADESH,2006,2309,2370,138,2900,808,151,121,1770,10960,21733,2308,519,1522,38,815,34709,764,6243,762,2989,0,4823,95959,194711
MAHARASHTRA,2006,2656,1680,100,1500,1261,663,323,2574,15877,46473,7453,1726,6234,317,1188,29407,387,3479,984,6738,1,10933,49834,191788
MANIPUR,2006,205,265,4,40,130,2,27,8,55,290,60,40,82,9,109,296,0,42,0,10,0,3,1207,2884
MEGHALAYA,2006,157,42,8,74,57,57,4,65,140,470,7,16,83,7,28,138,6,57,0,13,0,68,438,1935
MIZORAM,2006,25,19,7,72,6,7,0,10,422,758,0,30,78,10,25,72,0,51,0,1,0,26,454,2073
NAGALAND,2006,123,46,8,23,31,16,0,84,70,327,7,18,37,10,16,50,0,3,2,3,0,28,201,1103
ODISHA,2006,1159,752,36,985,704,239,76,1184,3120,6567,1535,313,1364,16,371,6226,457,2415,247,694,12,2945,21375,52792
PUNJAB,2006,817,898,165,442,591,35,90,142,2277,3946,3,281,3393,66,68,5104,130,314,60,801,2,2919,9524,32068
RAJASTHAN,2006,1209,1694,79,1085,1970,37,97,631,5085,17889,1767,694,10191,56,551,21296,394,2582,31,7038,3,6234,61379,141992
SIKKIM,2006,21,16,2,20,8,0,0,9,84,113,12,10,37,1,1,96,0,14,0,6,0,39,214,703
TAMIL NADU,2006,1363,1599,20,457,906,95,4,450,3300,13651,1838,194,2116,63,460,14067,187,1179,852,1248,0,10792,94131,148972
TRIPURA,2006,154,52,1,189,105,18,1,71,182,392,154,23,84,12,35,464,35,207,0,471,0,199,1091,3940
UTTAR PRADESH,2006,5480,4997,1543,1314,3318,218,86,2024,4577,20447,3774,2509,5142,278,299,10412,1798,2096,2714,5204,0,7235,41536,127001
UTTARAKHAND,2006,274,215,40,147,212,31,2,157,470,1696,489,95,514,14,39,854,80,153,113,358,0,524,1935,8412
WEST BENGAL,2006,1425,672,401,1731,1355,177,1263,426,601,12532,2385,519,1947,135,111,6299,445,1837,63,7414,1,3039,23274,68052
A & N ISLANDS,2006,4,4,1,6,5,0,0,5,82,101,10,3,15,4,9,78,0,14,4,7,0,2,322,676
CHANDIGARH,2006,12,21,8,19,65,1,3,34,189,1234,44,59,232,3,5,55,10,20,13,102,0,14,983,3126
D & N HAVELI,2006,9,0,1,6,18,5,0,5,41,61,8,30,10,1,5,35,1,5,1,5,0,16,172,435
DAMAN & DIU,2006,6,3,0,3,3,8,0,1,60,63,24,9,3,4,5,18,0,2,0,2,0,26,48,288
LAKSHADWEEP,2006,0,2,0,0,0,0,0,0,2,17,12,0,0,0,4,5,0,0,0,1,0,0,37,80
PUDUCHERRY,2006,30,24,3,9,18,2,0,3,84,560,194,6,36,2,22,927,3,56,39,19,0,209,2441,4687
ANDHRA PRADESH,2007,2665,1885,135,1070,2097,170,6,614,7677,24391,1998,869,8103,224,1176,46122,613,4406,3316,11335,0,12629,43586,175087
ARUNACHAL PRADESH,2007,68,29,2,48,68,16,0,75,240,513,16,41,33,10,22,375,0,72,1,20,0,82,555,2286
ASSAM,2007,1374,451,109,1437,1971,299,12,496,2603,7754,2601,653,895,115,380,5175,100,789,10,3000,0,2875,12183,45282
BIHAR,2007,3034,3113,257,1555,2530,686,78,1787,3259,11795,7962,1326,2358,79,865,16288,1172,853,12,1635,56,3789,44931,109420
CHHATTISGARH,2007,1097,747,26,982,244,115,13,427,3632,5381,881,150,467,64,253,6801,100,1549,111,824,0,2476,19505,45845
GOA,2007,33,23,7,20,12,7,0,22,292,494,70,36,55,10,24,150,2,20,7,14,0,247,934,2479
GUJARAT,2007,1166,494,21,316,1312,245,10,1095,4870,18164,1668,1139,1116,286,330,10989,42,822,120,5827,0,4831,68332,123195
HARYANA,2007,911,592,72,488,801,139,266,502,4231,11047,1173,726,1232,33,142,5031,269,417,409,2412,0,1545,19159,51597
HIMACHAL PRADESH,2007,127,57,9,159,171,5,0,23,877,1092,649,132,212,11,141,1318,8,322,33,342,0,597,7937,14222
JAMMU & KASHMIR,2007,318,669,23,288,758,18,0,111,1460,2086,1209,121,489,31,186,374,9,986,353,176,0,243,11535,21443
JHARKHAND,2007,1617,1076,92,855,762,524,40,771,1495,7091,2565,448,814,19,160,3783,303,342,15,801,0,1019,13897,38489
KARNATAKA,2007,1538,1251,55,436,680,178,242,1313,5449,14351,5783,400,3600,124,262,18963,251,1828,28,2507,0,514,60853,120606
KERALA,2007,367,402,92,512,255,121,157,869,4100,5609,7358,394,4215,54,398,18975,27,2624,262,3999,0,59,57681,108530
MADHYA PRADESH,2007,2244,2423,155,3010,922,143,109,1975,11230,22396,2648,531,1661,38,909,36643,742,6772,780,3294,0,5754,98007,202386
MAHARASHTRA,2007,2693,1615,113,1451,1312,716,405,2770,15607,47681,7993,1715,6235,270,1267,29622,436,3306,1039,7356,0,11946,50159,195707
MANIPUR,2007,240,377,2,20,150,3,146,11,70,454,70,19,93,4,63,377,0,70,0,15,0,1,1074,3259
MEGHALAYA,2007,114,49,8,82,52,55,1,56,203,500,33,17,164,12,36,124,2,45,1,19,0,68,438,2079
MIZORAM,2007,43,21,4,83,4,0,0,5,457,808,1,20,66,16,38,85,0,66,0,2,0,34,330,2083
NAGALAND,2007,111,50,8,13,17,7,0,75,118,360,15,13,34,8,5,52,0,8,1,0,0,43,242,1180
ODISHA,2007,1210,1105,22,939,801,247,42,1273,3073,6830,1983,319,1263,30,411,7478,461,2775,241,728,0,3771,19870,54872
PUNJAB,2007,760,893,170,519,760,37,92,138,2616,5173,1,329,3581,68,96,5663,133,427,48,971,0,2801,10517,35793
RAJASTHAN,2007,1303,1772,64,1238,2177,71,81,778,5164,19345,1626,825,11919,56,675,19720,439,2477,28,8170,0,7096,63846,148870
SIKKIM,2007,9,14,3,24,9,0,0,6,83,118,15,7,34,3,1,95,0,13,0,7,0,34,192,667
TAMIL NADU,2007,1633,2078,28,523,1270,88,33,495,3717,13217,2375,261,2510,74,653,16967,208,1540,875,1976,0,11485,110748,172754
TRIPURA,2007,138,58,2,157,113,14,2,64,193,411,142,42,85,10,23,546,36,244,4,545,0,203,1241,4273
UTTAR PRADESH,2007,5000,4424,1616,1648,4478,437,82,2169,5057,22816,4495,3639,8399,337,268,10694,2076,2522,2882,7650,0,7655,51914,150258
UTTARAKHAND,2007,268,228,50,117,253,46,6,173,548,1593,459,163,697,39,37,886,70,146,63,463,0,608,2686,9599
WEST BENGAL,2007,1652,877,394,2106,1800,146,1150,427,399,13747,3727,672,2406,127,121,6909,451,2281,99,9900,5,3803,27903,81102
A & N ISLANDS,2007,15,19,1,3,12,5,0,9,90,112,17,7,23,1,11,99,1,21,2,18,0,4,337,807
CHANDIGARH,2007,19,26,8,22,52,2,0,37,191,1740,79,38,170,2,9,78,1,32,11,112,0,15,999,3643
D & N HAVELI,2007,10,2,0,7,9,1,0,3,28,87,39,17,10,1,10,25,0,0,0,3,0,12,161,425
DAMAN & DIU,2007,12,7,0,1,1,3,1,2,46,43,31,5,6,6,3,20,1,0,0,3,0,32,37,260
LAKSHADWEEP,2007,0,2,0,1,0,0,0,0,2,20,1,0,0,0,0,0,0,2,0,2,0,0,26,56
PUDUCHERRY,2007,34,42,2,9,20,1,2,8,86,787,145,6,45,1,18,904,2,89,32,17,0,267,2537,5054
ANDHRA PRADESH,2008,2690,1942,165,1257,1970,110,11,623,8332,25362,1930,990,8393,379,1021,48167,556,4730,3551,10306,0,12861,43929,179275
ARUNACHAL PRADESH,2008,72,37,2,42,79,14,0,79,245,445,18,43,28,1,10,479,0,72,1,13,0,104,590,2374
ASSAM,2008,1426,417,71,1438,2239,312,74,568,3147,8012,2600,680,996,91,443,6107,103,1272,2,3478,0,2259,17598,53333
BIHAR,2008,3139,2954,386,1302,3047,686,60,1592,3414,13206,8099,1352,2741,69,772,16644,1210,999,21,1992,22,4592,54370,122669
CHHATTISGARH,2008,1169,736,18,978,273,124,17,500,4112,6079,1144,169,562,71,302,8565,106,1621,125,897,0,2800,21074,51442
GOA,2008,49,25,11,30,36,3,0,23,302,601,102,47,105,22,27,185,2,32,12,12,0,230,886,2742
GUJARAT,2008,1106,487,35,374,1323,256,14,1322,5053,20715,1809,1167,1167,190,363,10897,27,828,122,6094,0,4934,65525,123808
HARYANA,2008,921,616,92,631,854,120,257,555,4249,12709,1184,763,1150,40,139,4504,302,435,605,2435,0,1323,21460,55344
HIMACHAL PRADESH,2008,129,59,5,157,151,6,0,20,885,1152,627,137,248,11,127,1258,3,295,41,343,0,485,7837,13976
JAMMU & KASHMIR,2008,237,570,31,219,704,3,0,67,1347,2198,1782,87,392,23,230,273,21,935,296,162,0,293,10734,20604
JHARKHAND,2008,1697,1061,112,791,792,416,50,761,1375,7269,2576,269,900,24,164,2826,266,271,23,851,39,1310,14843,38686
KARNATAKA,2008,1698,1475,81,446,758,270,248,1615,6258,17820,6013,424,3669,118,265,19159,259,1954,44,2638,1,572,61755,127540
KERALA,2008,362,434,95,568,253,91,267,816,3882,5818,8057,435,3659,46,389,19178,31,2745,258,4138,0,37,59061,110620
MADHYA PRADESH,2008,2322,2282,204,2937,929,160,124,2234,11072,24583,2768,570,1368,47,898,36344,805,6445,758,3185,0,6008,100513,206556
MAHARASHTRA,2008,2795,1837,111,1558,1379,811,274,3031,16004,52860,9388,1880,7296,405,1288,29742,390,3619,1091,7829,0,12472,50183,206243
MANIPUR,2008,187,498,4,38,176,1,212,7,76,446,48,24,161,3,41,301,1,57,0,28,0,2,1038,3349
MEGHALAYA,2008,126,55,6,88,56,63,0,65,168,669,8,32,104,10,28,204,2,54,4,32,0,64,480,2318
MIZORAM,2008,35,10,6,77,9,4,0,6,338,747,1,34,57,15,18,118,0,78,0,5,0,53,378,1989
NAGALAND,2008,143,47,13,19,44,6,0,87,127,345,4,16,31,4,14,46,0,15,1,4,0,44,192,1202
ODISHA,2008,1250,1415,84,1113,908,305,67,1345,3100,7419,2721,342,1244,26,869,7013,401,2782,282,1618,0,3535,18916,56755
PUNJAB,2008,769,956,146,517,718,40,122,167,2621,5563,1,236,3192,78,75,5597,128,388,49,984,0,2845,10122,35314
RAJASTHAN,2008,1297,1649,54,1355,2358,64,77,829,4736,20411,1390,737,12097,51,615,21117,439,2520,19,8113,0,7322,63924,151174
SIKKIM,2008,9,7,3,20,4,1,0,7,81,127,17,6,46,0,23,100,0,19,0,5,0,40,215,730
TAMIL NADU,2008,1759,2327,28,573,1375,100,66,662,3849,15019,2811,231,2349,599,610,20529,207,1705,974,1648,0,12328,107084,176833
TRIPURA,2008,155,53,2,204,146,13,3,95,218,499,197,42,92,23,47,924,16,346,4,735,0,195,1327,5336
UTTAR PRADESH,2008,4564,4233,1493,1871,5428,313,76,2097,5418,25946,4381,4296,9327,420,228,11683,2237,2955,3374,8312,0,10102,60242,168996
UTTARAKHAND,2008,223,217,40,87,247,16,2,144,423,1622,509,171,463,31,15,937,73,120,306,340,0,590,2280,8856
WEST BENGAL,2008,1811,1732,488,2263,2332,184,1055,613,462,17334,5425,876,2938,148,150,9033,451,2396,94,13663,5,3789,38177,105419
A & N ISLANDS,2008,8,11,2,12,17,0,0,14,78,128,16,12,19,1,15,107,2,24,3,26,0,4,383,882
CHANDIGARH,2008,17,28,6,20,50,1,4,23,257,1991,85,37,213,0,2,73,3,19,2,49,0,11,1040,3931
D & N HAVELI,2008,9,2,0,6,17,1,0,0,49,54,24,10,24,1,6,26,0,4,0,4,0,10,154,401
DAMAN & DIU,2008,2,2,0,0,4,2,0,4,45,49,35,4,2,1,3,12,0,2,1,5,0,39,36,248
LAKSHADWEEP,2008,1,0,0,2,1,0,0,0,3,8,12,0,0,0,2,12,0,0,0,1,0,0,53,95
PUDUCHERRY,2008,35,35,3,8,17,10,3,10,90,688,165,13,53,2,9,873,2,65,21,12,0,207,2668,4989
ANDHRA PRADESH,2009,2449,1859,134,1188,1958,102,27,544,7772,24692,2261,904,8528,461,1039,44488,546,5147,3520,11297,0,13438,48087,180441
ARUNACHAL PRADESH,2009,59,33,5,59,62,20,0,55,201,381,52,38,29,8,28,526,0,58,6,13,0,110,619,2362
ASSAM,2009,1323,417,35,1631,2718,251,21,680,3149,7644,1808,802,1098,84,476,6547,170,1342,10,4398,1,2735,17973,55313
BIHAR,2009,3152,3068,243,929,3222,654,64,1619,3566,15221,8554,1186,2676,69,685,14746,1295,726,12,2532,31,4516,54165,122931
CHHATTISGARH,2009,1083,732,19,976,286,134,16,554,3975,5792,957,166,682,68,335,9543,128,1598,152,893,0,2735,20546,51370
GOA,2009,53,24,11,47,33,4,0,30,294,858,50,52,132,27,24,191,3,37,10,21,0,220,884,3005
GUJARAT,2009,1020,468,30,433,1348,246,11,1420,4488,19669,1539,1256,1014,238,240,9456,24,727,114,5506,0,5178,60758,115183
HARYANA,2009,948,690,78,603,916,153,297,679,4077,12917,1166,827,1406,35,153,3977,281,451,605,2617,0,1549,21804,56229
HIMACHAL PRADESH,2009,125,73,13,183,150,4,0,21,784,823,591,117,264,2,124,1230,1,318,37,284,0,616,7555,13315
JAMMU & KASHMIR,2009,237,547,23,237,873,1,0,69,1566,2631,1472,132,475,37,217,331,12,972,371,196,0,517,11059,21975
JHARKHAND,2009,1636,1274,104,719,827,412,53,780,1392,7716,2312,473,910,15,203,4132,295,276,83,710,6,1678,11430,37436
KARNATAKA,2009,1702,1607,79,509,892,273,346,1825,6629,20576,6269,461,5079,171,293,20105,264,2186,64,3185,2,417,61108,134042
KERALA,2009,343,408,100,568,256,112,266,830,3554,5564,8086,354,3394,66,503,18274,20,2540,395,4007,0,41,68688,118369
MADHYA PRADESH,2009,2386,2212,117,2998,1036,117,156,2270,10661,23260,2409,575,1830,27,741,37132,858,6307,728,3983,1,6591,101367,207762
MAHARASHTRA,2009,2653,1880,98,1483,1286,780,287,3314,15841,50930,8030,1895,7976,478,1105,28326,341,3196,1099,7681,0,12459,48460,199598
MANIPUR,2009,131,478,2,31,159,1,188,3,68,394,48,20,96,1,81,224,0,39,2,25,0,0,861,2852
MEGHALAYA,2009,128,39,12,112,56,64,1,67,147,545,18,26,113,9,54,207,0,72,1,24,1,72,680,2448
MIZORAM,2009,31,14,8,83,9,2,0,4,381,761,1,30,61,9,24,120,0,61,1,4,0,36,407,2047
NAGALAND,2009,46,35,7,22,52,8,0,92,82,347,4,6,33,3,4,38,0,11,0,0,0,34,235,1059
ODISHA,2009,1250,1231,48,1023,930,380,63,1488,2937,7136,1718,258,1137,34,413,6816,384,2697,210,2047,1,2979,20560,55740
PUNJAB,2009,853,1014,129,511,692,38,96,171,2507,5624,8,234,3098,63,101,5498,126,319,33,1061,0,3289,10080,35545
RAJASTHAN,2009,1395,1673,80,1519,2870,53,57,886,5294,22144,1145,842,15037,59,556,21652,436,2485,24,10371,0,7898,70089,166565
SIKKIM,2009,19,7,3,18,6,0,0,4,93,62,39,4,12,2,9,91,0,10,0,6,0,59,225,669
TAMIL NADU,2009,1776,2325,26,596,1372,97,34,1144,4221,15712,2397,215,2557,352,580,18147,194,1242,501,1460,0,13528,106215,174691
TRIPURA,2009,133,59,2,190,121,7,0,77,231,415,178,52,110,20,62,1047,29,384,5,815,0,225,1324,5486
UTTAR PRADESH,2009,4534,4141,1439,1759,6083,365,59,2285,5260,29226,4263,3917,8845,339,254,10934,2232,2782,2524,8566,0,12159,60918,172884
UTTARAKHAND,2009,195,185,51,111,275,35,7,179,363,1601,466,156,544,43,17,1198,94,119,249,361,0,685,1868,8802
WEST BENGAL,2009,2068,2119,931,2336,2750,214,724,751,329,17133,6700,918,3298,153,344,11196,506,1942,108,16112,5,3623,38776,113036
A & N ISLANDS,2009,15,4,4,18,16,0,0,11,86,134,11,7,20,2,12,89,1,30,7,21,0,2,451,941
CHANDIGARH,2009,22,18,8,29,40,4,3,27,241,1731,66,38,193,4,4,63,2,26,2,51,0,7,976,3555
D & N HAVELI,2009,10,5,1,4,12,9,0,2,43,63,53,17,20,1,5,23,0,2,1,3,0,17,151,442
DAMAN & DIU,2009,5,4,1,1,0,0,0,4,33,41,29,8,4,3,3,14,0,4,1,3,0,40,78,276
LAKSHADWEEP,2009,0,1,0,1,0,3,0,0,1,10,44,0,0,0,2,14,0,0,0,0,0,0,58,134
PUDUCHERRY,2009,37,25,5,1,18,7,5,9,71,711,141,7,47,5,11,901,0,53,16,10,0,233,2278,4591
ANDHRA PRADESH,2010,2538,1953,155,1362,2053,134,2,550,8200,26756,2231,1130,9164,186,925,46777,588,4634,4562,12080,0,14085,41373,181438
ARUNACHAL PRADESH,2010,75,34,3,47,67,15,0,69,211,445,31,59,91,0,28,439,0,84,1,12,0,106,622,2439
ASSAM,2010,1223,431,46,1721,3250,248,12,662,3458,7860,2183,992,1371,68,437,5744,175,1400,20,5410,0,2847,22110,61668
BIHAR,2010,3362,2915,344,795,3674,644,46,1538,3437,15544,8809,1071,3025,52,660,15328,1257,534,16,2271,8,5615,56508,127453
CHHATTISGARH,2010,1065,756,30,1012,359,122,15,552,3711,5805,1092,196,813,59,319,10188,115,1706,182,861,2,2907,23091,54958
GOA,2010,35,27,3,36,25,2,0,39,368,1034,64,57,117,33,23,177,1,36,16,17,0,256,927,3293
GUJARAT,2010,1048,462,44,408,1447,186,18,1384,4071,16794,1623,1214,1002,255,260,10131,19,668,110,5600,0,5907,63788,116439
HARYANA,2010,1005,836,63,720,963,147,248,734,4445,16266,1414,919,1662,29,221,3733,284,476,580,2720,0,1595,20060,59120
HIMACHAL PRADESH,2010,132,74,12,160,194,2,0,11,743,838,615,110,318,4,127,1374,2,350,78,275,0,610,7020,13049
JAMMU & KASHMIR,2010,217,711,26,245,896,6,0,61,1406,2510,2169,150,422,19,224,278,9,1038,262,211,0,494,11869,23223
JHARKHAND,2010,1689,1028,82,773,978,335,19,709,1357,7090,2447,505,988,16,185,4271,276,245,16,650,8,1745,13477,38889
KARNATAKA,2010,1805,1850,94,586,1374,272,300,1949,6059,20093,7710,464,5543,192,286,21835,248,2544,83,3441,0,471,65123,142322
KERALA,2010,363,361,86,634,261,74,221,636,2682,4380,8724,343,3581,54,374,18532,22,2936,537,4797,0,47,98668,148313
MADHYA PRADESH,2010,2423,2277,123,3135,1187,110,110,1919,9897,21577,2606,507,1779,33,748,39193,892,6646,918,3756,5,7038,107390,214269
MAHARASHTRA,2010,2744,1926,152,1599,1508,778,285,3721,16617,52565,8412,1948,8684,389,1229,29696,393,3661,1180,7434,0,13508,49739,208168
MANIPUR,2010,92,258,1,34,199,0,196,2,66,417,65,24,59,7,86,227,0,31,0,18,0,1,932,2715
MEGHALAYA,2010,134,60,8,149,71,42,1,67,166,664,7,37,98,4,52,154,0,48,0,24,0,53,666,2505
MIZORAM,2010,48,27,7,92,9,3,0,16,425,823,0,25,79,12,15,116,0,75,0,3,0,44,355,2174
NAGALAND,2010,45,35,13,16,50,3,0,63,62,397,2,13,39,3,1,36,0,13,3,1,0,22,242,1059
ODISHA,2010,1308,1436,31,1025,1016,346,117,1491,2855,7572,1779,322,1108,29,430,7181,388,2905,232,2067,5,3450,19366,56459
PUNJAB,2010,907,994,120,546,789,65,143,241,2661,5446,0,243,3527,75,101,4873,121,349,38,1163,0,3350,10896,36648
RAJASTHAN,2010,1421,1557,104,1571,2985,37,84,872,4714,22324,986,789,16584,36,478,19247,462,2339,23,11145,0,7978,67221,162957
SIKKIM,2010,17,6,2,18,6,1,0,7,72,53,4,1,20,3,7,73,1,11,0,3,0,47,200,552
TAMIL NADU,2010,1875,2641,32,686,1720,85,12,1817,4715,14583,2664,177,3259,312,636,21309,165,1405,638,1570,0,14644,110733,185678
TRIPURA,2010,150,63,8,238,114,16,2,65,221,457,163,53,122,6,51,1136,25,376,9,937,0,237,1356,5805
UTTAR PRADESH,2010,4401,4004,1401,1563,6321,337,48,2577,4915,31153,4186,3817,9553,426,170,10336,2217,2793,11,7978,0,14472,61500,174179
UTTARAKHAND,2010,176,219,60,121,286,12,2,162,310,2138,458,167,567,33,17,974,75,125,165,334,0,738,2101,9240
WEST BENGAL,2010,2398,2111,630,2311,3345,288,687,798,388,19389,6809,1011,3260,214,331,12764,507,2465,163,17796,8,2847,49096,129616
A & N ISLANDS,2010,9,7,4,24,10,1,0,7,80,121,11,10,56,0,12,80,0,31,10,9,0,9,489,980
CHANDIGARH,2010,21,30,9,31,38,5,6,67,236,1481,65,23,163,3,9,65,5,29,4,41,0,6,1036,3373
D & N HAVELI,2010,6,0,1,3,18,2,0,3,25,63,44,12,18,1,2,11,0,11,2,3,0,20,133,378
DAMAN & DIU,2010,5,2,1,1,2,6,0,0,27,47,11,4,5,0,0,12,0,2,0,3,0,38,37,203
LAKSHADWEEP,2010,0,0,0,0,0,0,0,0,5,5,3,0,0,0,2,1,0,0,0,0,0,0,26,42
PUDUCHERRY,2010,33,19,16,3,17,2,10,5,72,534,131,12,77,3,10,806,1,46,22,7,0,242,1867,3935
ANDHRA PRADESH,2011,2808,2229,171,1442,2154,126,7,600,8300,28267,2210,1174,9748,224,1021,54452,599,4849,3658,13376,0,13973,38392,189780
ARUNACHAL PRADESH,2011,65,29,2,42,93,13,0,64,183,414,49,54,74,2,34,379,0,51,0,18,0,98,622,2286
ASSAM,2011,1303,504,48,1700,3764,305,4,837,3327,8309,2328,920,1495,60,506,6306,121,1193,8,5246,2,2915,25513,66714
BIHAR,2011,3198,3327,348,934,4268,556,105,1381,3629,16292,9768,1741,3776,64,705,19391,1413,790,11,2607,10,5877,55705,135896
CHHATTISGARH,2011,1110,747,28,1053,472,68,7,470,3548,5315,934,180,980,65,289,11105,104,1654,174,834,2,2856,25223,57218
GOA,2011,48,22,6,29,28,2,0,26,318,1115,74,45,142,31,24,215,1,29,12,18,0,263,1001,3449
GUJARAT,2011,1126,478,43,439,1614,221,24,1368,4509,16043,1615,1339,1399,256,263,10159,30,685,93,6052,0,5827,69788,123371
HARYANA,2011,1062,851,60,733,959,167,176,638,5011,17425,1466,812,1761,18,166,3423,255,474,490,2740,0,1505,20549,60741
HIMACHAL PRADESH,2011,130,50,6,168,212,1,0,10,995,1042,530,143,359,4,110,1251,4,331,62,239,0,563,8102,14312
JAMMU & KASHMIR,2011,169,494,29,277,1077,14,0,88,1516,2655,1405,195,612,39,205,246,11,1194,350,286,0,385,13257,24504
JHARKHAND,2011,1747,718,83,784,941,309,40,614,1235,6378,2133,447,907,22,138,4403,282,317,7,659,6,1728,11940,35838
KARNATAKA,2011,1820,1837,85,636,1395,214,399,2123,6136,19834,7265,440,5850,105,231,21295,267,2608,81,3712,12,750,60505,137600
KERALA,2011,365,521,105,1132,299,71,245,741,3001,4704,10754,340,5155,56,450,21747,15,3756,573,5377,0,65,112665,172137
MADHYA PRADESH,2011,2511,2340,139,3406,1288,118,117,1952,10230,22414,2080,557,1860,12,784,35711,811,6665,762,3732,45,7478,112082,217094
MAHARASHTRA,2011,2818,2105,144,1701,1669,773,291,4249,16313,53449,8556,1883,9098,351,1255,29769,339,3794,1071,7136,0,13024,45114,204902
MANIPUR,2011,78,245,4,53,169,1,154,7,52,719,70,42,126,12,99,292,1,38,0,39,0,2,1015,3218
MEGHALAYA,2011,170,51,3,130,87,49,0,63,145,696,8,52,166,13,34,197,1,74,1,21,3,90,701,2755
MIZORAM,2011,26,24,8,77,6,1,0,6,336,734,0,21,66,2,19,97,0,72,1,9,0,37,279,1821
NAGALAND,2011,46,43,11,23,34,7,0,59,73,360,1,16,31,5,2,55,0,9,0,1,0,15,292,1083
ODISHA,2011,1477,1621,51,1112,1139,417,84,1583,3031,8724,1556,250,1391,10,423,7894,465,3207,235,2320,0,3778,20509,61277
PUNJAB,2011,842,997,112,479,681,28,143,236,2488,4784,0,281,3571,58,83,4757,143,282,31,1136,0,3576,10175,34883
RAJASTHAN,2011,1461,1566,100,1800,3204,28,72,727,4510,21099,751,741,17497,56,473,17977,514,2447,9,12218,0,8122,70250,165622
SIKKIM,2011,14,7,8,16,10,0,0,5,60,72,25,4,31,3,4,75,0,24,0,4,0,57,177,596
TAMIL NADU,2011,1877,2962,28,677,1984,101,11,2066,4848,13924,3009,238,3872,275,706,21167,152,1467,464,1812,0,16076,115163,192879
TRIPURA,2011,163,75,0,205,154,11,0,50,227,494,175,54,99,9,58,1340,30,294,9,702,0,14,1640,5803
UTTAR PRADESH,2011,4951,4653,1454,2042,8500,379,39,3148,5765,36683,5022,3721,9941,270,477,12234,2322,3455,3,7121,0,14380,68575,195135
UTTARAKHAND,2011,178,189,54,129,314,13,1,179,342,2093,401,115,519,26,17,852,83,116,72,307,0,696,2078,8774
WEST BENGAL,2011,2109,2242,486,2363,4285,236,939,760,455,21446,6019,1264,4171,207,413,13094,510,2363,200,19772,0,3249,56614,143197
A & N ISLANDS,2011,14,6,2,13,15,1,0,1,99,88,11,3,32,0,6,81,0,15,3,5,0,6,392,793
CHANDIGARH,2011,24,40,6,27,58,6,2,68,285,1502,66,25,255,0,9,45,2,21,12,46,0,7,1036,3542
D & N HAVELI,2011,14,2,0,4,9,7,0,2,22,69,20,10,18,2,5,25,0,2,0,3,0,24,134,372
DAMAN & DIU,2011,6,1,0,1,3,4,0,6,31,47,19,3,10,2,0,11,0,0,0,2,0,43,35,224
LAKSHADWEEP,2011,0,1,0,0,0,0,0,0,0,4,5,1,0,0,3,3,0,0,0,0,0,0,27,44
PUDUCHERRY,2011,32,22,12,7,12,5,10,11,65,707,125,9,54,4,10,853,1,35,16,10,0,243,2119,4362
ANDHRA PRADESH,2012,2717,2183,158,1341,1870,131,1,668,8442,27475,1878,1271,11002,260,980,56768,504,4816,3714,13389,0,13929,39025,192522
ARUNACHAL PRADESH,2012,73,29,1,46,82,20,0,65,215,402,28,55,85,1,33,438,1,67,2,26,0,94,657,2420
ASSAM,2012,1368,670,54,1716,3812,266,7,907,3825,9394,5077,1278,1705,61,2830,6676,140,1840,5,6407,2,2565,27077,77682
BIHAR,2012,3566,5452,285,927,4807,540,54,1266,3758,17667,10871,1650,3933,40,799,45827,1275,118,37,3686,4,4631,35421,146614
CHHATTISGARH,2012,998,593,26,1034,450,64,4,412,3334,5341,910,170,925,53,330,10855,81,1601,162,980,0,2888,23387,54598
GOA,2012,45,35,3,55,24,6,0,25,356,915,122,64,205,16,34,266,0,49,16,24,0,233,1115,3608
