STATE/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
ANDHRA PRADESH,0.4056293878659548,0.21854282560446783,0.1701983416109758,0.5433514860540379,0.3462226634395992,0.045151879373047966,0.001938573341788072,0.09602482540629002,0.23772398599546699,0.19580705745639268,0.07609646931112875,0.21723390845654716,0.5179424680792764,0.7904702019497722,0.3346262643892942,2.0,0.7028890154908569,0.40689385555017277,0.5732540379141476,0.40699339586694866,0.0,0.4561861343230748,0.4338605855034384
ARUNACHAL PRADESH,0.9354208755650238,0.3144329635306179,0.15579029226880953,1.3709887416711342,1.2330452781108652,0.43396049798745673,0.0,0.9195208629888929,0.558080633878291,0.297103166647506,0.053534969498497086,0.7125246501908479,0.13048522739029544,0.15750172321360187,0.23895185563713772,1.476112461803388,0.0,0.46772599110790786,0.01219089152088805,0.02268904973472638,0.0,0.27857343442853133,0.4490156992772546
ASSAM,0.8112715631508978,0.15774191209176985,0.24618038478125104,2.089431727779467,1.5793772629020535,0.4304884048382445,0.043837420210291404,0.2942845978994265,0.3084903392297281,0.2150982580855839,0.34529936542644224,0.5015624923074764,0.20660810521043196,0.6379863737784723,0.5030974371315698,0.7928465394399471,0.43769633193645097,0.3678161716834429,0.0010853009007776885,0.4640785275094928,0.0,0.26934399109225204,0.8027867100024478
BIHAR,0.7715647202117738,0.48582820631915047,0.581893613645727,0.8225105401898233,0.8973119372049204,0.4115211576591387,0.015453459124623911,0.35861086975200895,0.13242559257003134,0.12130868359234143,0.4677147335647987,0.43356480360852984,0.24720556353425033,0.21031986298679592,0.37322204976874235,0.9586493398200928,2.23553895173995,0.1255944317847309,0.004954509337178529,0.10221442243023449,0.35580092435532684,0.2380422947640419,1.294791996146646
CHHATTISGARH,0.6725269939009915,0.2886469871554958,0.06470618142015054,1.4732834911288313,0.12015458180028839,0.17738084438446008,0.010440958236167053,0.2685761042343413,0.42668185196053543,0.14447796368468827,0.15740756754650803,0.12923525741090636,0.12086554105414385,0.5160675217632567,0.34595137192411357,1.199939566987088,0.46700304913926516,0.48596488823037237,0.07032477467484796,0.11106847021145047,0.0,0.34612045031546607,1.149007074355672
GOA,0.5046920669342928,0.18394145509829254,0.7418504179992145,0.847850180454119,0.4313857137940893,0.08051127088326213,0.0,0.23177980666851106,0.5972587682395243,0.36702222586599653,0.26343457846906615,0.6742835429833463,0.42364870052593184,3.0,0.6024923397085192,0.42453771395546563,0.165308140689361,0.17997917220036846,0.12665722744239927,0.014564062361022014,0.0,0.5333931810955881,0.7730617413096968
GUJARAT,0.19571035843342327,0.07935737846708622,0.05227697476986698,0.23409288114315252,0.3341745829851587,0.15215777014691464,0.003572634682064011,0.29505158896385353,0.20574274496892478,0.2527494298384835,0.10335182432967499,0.3707953683194451,0.10428123791483102,0.5738137056791747,0.15634409118743858,0.5854160285526198,0.049425008431588244,0.10313862822464616,0.028518541042677082,0.3459188622092595,0.0,0.2534180302337449,1.668470576430281
HARYANA,0.46220837678776405,0.2245521548466198,0.3074032067960949,0.883535750892646,0.5229650096112833,0.15955616129076666,0.1467141023962646,0.27710071677084264,0.40883386521785203,0.39005274334815576,0.15141772284558017,0.5423331431566265,0.22988536587928332,0.2702436332098084,0.1292201388191958,0.5334761945476836,1.2367106314560643,0.12121557735788516,0.3163741645834396,0.3073205424477618,0.0,0.1520114750817266,1.0538356276329486
HIMACHAL PRADESH,0.20597595408919528,0.0851679471176061,0.06615736867597198,0.8705266542272837,0.33888294799757984,0.03159157194646605,0.0,0.039542335300580954,0.3328662485889988,0.06572603579685607,0.31774682569831203,0.3856113672920538,0.19631469916921668,0.2942902117916428,0.55346859304687,0.6010458252448887,0.04864856773435475,0.32552087641572164,0.08490184854708911,0.16356622260377593,0.0,0.22067133400848343,1.8053072163127841
JAMMU & KASHMIR,0.28454439655274216,0.5581235834426816,0.2782282753162194,0.8236787964510736,1.2684948972044905,0.010714516829834245,0.0,0.08985421868758882,0.3444595533818625,0.11915564921325306,0.612751985452456,0.16610391321748016,0.2104837418726393,0.41739026843860844,0.6874043188371354,0.0,0.23099333520614412,0.6998416604666245,0.4157730651957929,0.04032308552559145,0.0,0.09042804732961984,1.6325017819159378
JHARKHAND,1.4034559951951582,0.5533101230855284,0.5353715715086753,1.584484403566242,0.7235687126869043,0.7913022142459148,0.0408343323458635,0.5435581852355629,0.17597684540176053,0.29809477680179997,0.4717132626441611,0.27353355204501395,0.25737876459747827,0.23196552194122372,0.24069130342914447,0.4682346338219871,1.5583302640603915,0.10803268885788318,0.017206406938518565,0.1447655611659731,2.0,0.21533000078210232,1.0361219537367998
KARNATAKA,0.3471515967519196,0.23332037574793452,0.11744369790472972,0.27099030810807506,0.14547138575272173,0.1557830596563543,0.061434814383057035,0.3498978909478928,0.2523559863807343,0.19195386020486602,0.3339293927301771,0.13077706807722939,0.3182623968184535,0.3459406674554863,0.10123230120197403,1.0724771727812021,0.460240727373722,0.2362750527772767,0.009984410888394874,0.13505718998324673,0.015555099858063633,0.028519157388531703,1.47279102953333
KERALA,0.0,0.07915222633437384,0.15881117616789284,0.39790554771570863,0.0,0.060535567207055184,0.07625825962073117,0.20383169471131365,0.1734385031123643,0.0,0.515990390797571,0.15469196474113908,0.3659424449298984,0.15548561003270817,0.19406152991236614,1.253732644113457,0.06351257717807389,0.3826911480535876,0.06749976070703095,0.25862626730082755,0.0,0.0021269395342799788,1.688722245108008
MADHYA PRADESH,0.27551668557977194,0.22288707493659063,0.18263477067869094,1.1018727539816253,0.08795071815319543,0.05700133742892123,0.018966760167739242,0.29885502648470486,0.2779727519194628,0.14633260610318324,0.09477207035597714,0.10855484048531595,0.07327103269123834,0.08507972304230944,0.2476742936614122,1.2739654207944855,0.883262437365735,0.4811991250507776,0.10620563800957553,0.0961608952209562,0.0,0.1849605818698946,1.4832720962236934
MAHARASHTRA,0.35539751622549953,0.17969541602258982,0.09952561560131272,0.5854011196350087,0.17503632577595302,0.28936401035332876,0.04197402605956941,0.40608965843828565,0.41348418749773597,0.448796071663649,0.3223995236837477,0.3585838985779562,0.3913718976436256,0.7342464074813779,0.37010584883901587,1.0254107787945796,0.42856538037748887,0.2706132692287696,0.15309524943591668,0.26271037081588683,0.0,0.38454215757687876,0.42640113865907636
MANIPUR,1.817353572125605,3.0,0.2208696051634242,0.8792932955369503,2.0,0.021972917762705758,2.0,0.05775613238468851,0.10341064295891797,0.17753020029323088,0.1013766602048616,0.2819085493710288,0.5318568517441707,0.33494394527538746,0.7570589354112433,0.5999975967710738,0.06767317434610749,0.2624819418099096,0.0,0.04400388831737885,0.0,0.003797536195266861,0.7158140613037024
