STATE/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
ANDHRA PRADESH,1.038281211032969,0.12529064095950965,0.17844055979921233,0.4194279683235304,0.3892779949779923,0.043244052072422566,0.004539940974399955,0.06940676501990413,0.21920460967309574,0.20421470069032377,0.037501072600520644,0.13025864409973342,0.523521492550444,0.7051390759306365,0.3397087673012053,2.0,0.7031359191486235,0.40751492754787805,0.689587618767754,0.42143063060600383,0.0,0.5138643656375214,0.3307495957342613
ARUNACHAL PRADESH,1.9108806096528366,0.19233723663885,0.5086442214846019,1.6313818557246451,0.9416601430404891,0.6477561388653683,0.0,0.5360692854250267,0.4485800353389687,0.2598197745134323,0.06640650304992698,0.41828958509737507,0.1360005466617286,0.9348010160880609,0.78671403877809,1.7938659902947294,0.0,0.35081057719446795,0.08979525213470307,0.037047734321023575,0.0,0.321337849280271,0.3090919380834868
ASSAM,1.8297597309854825,0.07478426993693853,0.15204244134338052,1.928385793605497,1.7628064506996035,0.3471426246994377,0.01151897268581008,0.2830217599605093,0.2948440125108821,0.2072899528145986,0.09892826780117546,0.37698190298844747,0.2198860489577952,0.41914197385786345,0.5484976440758508,0.8924850039338859,0.7141732416634251,0.34661701739795947,0.006390793771873058,0.5352124479773169,0.08851445410662954,0.3411765769348977,0.6163662170515075
BIHAR,1.961490592283476,0.3931088850105365,0.4749729347823267,0.48354835775014693,0.9402568675202517,0.40698440588622886,0.015795749111636233,0.30319606651026926,0.14244193958119586,0.17460646073853897,0.2113735996465785,0.25083990205887857,0.24112777795767906,0.1549161724870049,0.3260789366539982,0.9062281919841848,2.4478805445803453,0.08437227997819916,0.003450657450800346,0.13864380901391493,1.234643824584523,0.2534787807794616,1.1817792781235514
CHHATTISGARH,1.6127992992018687,0.19742422351100522,0.08887263138713632,1.2374274749307692,0.19972795711957766,0.199552267860619,0.009450006005657745,0.24827805096867567,0.40645705394741494,0.1494497566846409,0.0560884627031029,0.08401790928557523,0.1470609470230391,0.3653494257348647,0.3956702431300409,1.474863883135753,0.5790049420083266,0.4444181509960418,0.10459623192008838,0.11701460951523356,0.0,0.367364220362079,0.9830839506237864
GOA,1.349251247920133,0.08296753088993183,0.8795736547496124,1.0161314850436867,0.3939597526135686,0.10183028286189683,0.0,0.22983433408087967,0.5181132683123649,0.5421933009111543,0.05002197639796223,0.4499168053244592,0.4865774793778231,2.4798668885191346,0.5031182412617854,0.4190106224544393,0.23198432719660778,0.1759064753189129,0.11763526652366538,0.04704061737594808,0.0,0.5051580698835275,0.4660381696866637
GUJARAT,0.6774437199934017,0.011262254494524226,0.0625830713462905,0.23332666393969848,0.4198400827515547,0.16338348541017336,0.0028975168284474605,0.283816792106625,0.19678200679446334,0.28132184290514434,0.040033383474129894,0.2835140602345832,0.09751515573030053,0.5702924910794127,0.07027913891010411,0.5791454136803703,0.048417763261995705,0.09017177194840674,0.03498633761319991,0.3217703447525408,0.0,0.31018639903457973,1.6064145101340586
HARYANA,1.2897615109640932,0.16126968551187737,0.3333176004888478,0.6922011130945616,0.5844098218750793,0.20815771221255933,0.16025727619162217,0.27800175833760543,0.37986145812312055,0.41534402433059037,0.06250988124488181,0.3824005406462857,0.27697942554387767,0.17179747105586085,0.11701445844302742,0.4809392456696684,1.1612556142823787,0.11458842782787056,0.3803444048830439,0.31328641083946057,0.0,0.1900816304753775,0.9235044631999837
HIMACHAL PRADESH,0.7181749906120916,0.037203109134714085,0.23459901562007038,0.8911671429030326,0.4041405989839803,0.022981599699586932,0.0,0.03630916423125276,0.3054894159717504,0.03365300682760897,0.1345824554259346,0.22846413819001124,0.21962678565983604,0.041457003379647014,0.6003552899679452,0.6679753213759482,0.017451818831538526,0.3412011828764551,0.09822964407385455,0.14357385576947446,0.0,0.319218926023282,1.8015036110263494
JAMMU & KASHMIR,0.825051194539249,0.39191792812539256,0.2514912944379748,0.6962187407697022,1.4251735462682724,0.0034812286689419793,0.0,0.07228668941979523,0.37307016079124816,0.16530814114064651,0.20345443686254314,0.15617747440273036,0.23943480181574112,0.46470989761092146,0.6415676227375012,0.0,0.1268919960365518,0.631919795221843,0.5967975656893787,0.06003788465699311,0.0,0.1623344709897611,1.4879492275497896
JHARKHAND,3.3431456352174376,0.5589460451099163,0.667525567471148,1.2510456456658186,0.7924985266259026,0.841916871460626,0.0429544436689681,0.4796708120990258,0.18706326656948488,0.36167549131188453,0.18752652563479727,0.3285073191580297,0.26926165023308996,0.11058873811304626,0.315106360847788,0.8234732228447554,1.8311100407060303,0.10532809327919648,0.0783737578801154,0.12766360519089595,0.784699220002137,0.3092798375894861,0.5205103654298847
KARNATAKA,0.971359723071873,0.15610745626061612,0.14161530630784938,0.23583569730397203,0.23872964251606485,0.1558056430074156,0.07831714861045459,0.3134440989618439,0.2540400856025112,0.24208937919242074,0.1418444234352142,0.08941973411318839,0.4197201921994084,0.3520985959624595,0.07777594368688866,1.165738063931706,0.45766204237381536,0.2329881523452848,0.016878004250780596,0.15994355033670887,0.07305173005475896,0.021465660017009593,1.2564339641793354
KERALA,0.22167543867059783,0.0,0.20299531991427308,0.3018022575333152,0.07758618170414859,0.07238381670876665,0.06818130753397733,0.16142776806647743,0.14799065429156624,0.0,0.20749729012606824,0.07775684511992159,0.3176116388767096,0.15389164392704172,0.22908445267826338,1.2036779816184449,0.039262132440408465,0.3065634090569885,0.11796173025194746,0.22786601553310448,0.0,0.0023899838640184506,1.8644666418364269
MADHYA PRADESH,0.8785485314927658,0.13158216229977968,0.13531431655851953,0.9363692553239396,0.1788858671681597,0.04308054408409622,0.022781386312120233,0.2515346782668965,0.2641859196425311,0.14764120616035387,0.03465035939996998,0.07195733579769159,0.09756802676461951,0.03586796430531088,0.17901525132166168,1.4139869111645083,0.9596282781383536,0.43369188161614414,0.1238646212771495,0.12904535705467143,0.02356542582377913,0.2188942154965778,1.4129028031272872
MAHARASHTRA,1.0168163007645366,0.10914238961173311,0.11797606169637943,0.4751710212477055,0.2311357778820965,0.2989508912914959,0.04362619929888864,0.38223851681009263,0.4172898135109701,0.47317701660625766,0.12191940429813457,0.24684616078317417,0.44264086861675833,0.6609685467790257,0.3234316253361656,1.0959718614481866,0.3969904508061203,0.2287574065538399,0.19463615843749552,0.2590357907738112,0.0,0.43070120943095624,0.21486630095480674
MANIPUR,3.513849929873772,3.0,0.16850177435436603,0.7017914527916134,2.0,0.02682328190743338,2.0,0.0242164156350997,0.1142498563277541,0.20718381089957938,0.05060515254638195,0.18232819074333798,0.3728586830371945,0.0967741935483871,2.0000000000000004,0.5484392059251977,0.0,0.19536180750350632,0.02478919887122121,0.059004981973687615,0.0,0.0,0.5037568646459106
