STATE/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
ANDHRA PRADESH,4.0,3.0,2.0,3.0,2.0,1.4887340206185569,0.5264294536817102,2.0,1.0,1.0,1.0000000000000002,1.0,1.0,3.0,2.0,2.0,3.0,0.9999999999999999,1.0,1.0,2.0,1.0,2.0
ARUNACHAL PRADESH,0.15598162328802145,0.16972672929120408,0.09418797407946954,0.24266109510255987,0.2998290613110694,0.3267451380879854,0.2497530380879164,0.5702190863189506,0.06887065511353027,0.041532814865050685,0.017014760576269054,0.10409417681492103,0.011880508694869096,0.17791061770566466,0.05461661018145082,0.05239328703804957,0.0,0.046987680071247775,0.0028202475726129142,0.0040552929609994365,0.0,0.0,0.012549004198330424
ASSAM,0.16267402227233602,0.09782520270087047,0.07975639207604295,0.381539562414751,0.33953821059784095,0.5017985395305486,0.11102994566839228,0.2961764397634675,0.04090597570210075,0.02830770430866002,0.133365227718703,0.05699729234799799,0.014461486413342974,0.12993645542388663,0.12844431818187638,0.04047317554308505,0.057139758037336466,0.03251918356373646,0.00023881262268476085,0.029219679058631102,0.0,0.036828052935653874,0.00915463336471671
BIHAR,0.18491984900962694,0.289968563415958,0.20786992198724977,0.17293250106927335,0.2065502469495236,0.5077970096191331,0.4861559019058674,0.396054000551707,0.02062475158183268,0.01744126209945317,0.16209187645726073,0.06055078136293426,0.01739953377052541,0.10012401242385864,0.05606677578360364,0.019791773658662328,0.3469170823748352,0.008966091352894735,0.0005228326703615898,0.015211584192724706,1.340820388224043,0.01838334172783241,0.057912747326683764
CHHATTISGARH,0.09283870207764723,0.1031591263650546,0.08603285307882905,0.42942016188110216,0.045534816316510525,0.07868343599723371,0.14448141821159782,0.13971942025534756,0.07016210022388106,0.0221158513614917,0.03767453756647971,0.01774662067869026,0.009694322107887099,0.02166753336800139,0.05507069649014178,0.0361687765552644,0.06500260010400416,0.06467245145787771,0.009216572978198742,0.01885760113533535,0.0,0.012104538235583476,0.056685492854359074
GOA,0.0551161311494211,0.09611277231952156,0.1570470135939895,0.08827809168268343,0.032525472866166354,0.10400877235475192,0.0,0.1697805552367454,0.10189655458606783,0.058783802324028425,0.04549213123835406,0.09867847857176709,0.024563539577527722,0.08899330770326072,0.06940867788378542,0.01664216141937238,0.03051199121254653,0.010245279216402475,0.0065833886808224565,0.004057025251884102,0.0,0.05512774628537123,0.022737324019913782
GUJARAT,0.03740157751749988,0.03894352101644765,0.06683263912706904,0.04762541829188407,0.08164182996218838,0.10998178463886725,0.05373050739630099,0.15234306009183535,0.029782839024658083,0.030602249556922412,0.03103475592213291,0.10022972268671458,0.0159542460848455,0.05539762197146237,0.040684334430356836,0.03348511670307109,0.02313750029353545,0.010313302411760858,0.002363064167679048,0.0306144890313462,0.0,0.01910360451827687,0.08071754128421862
HARYANA,0.07910913788438455,0.0903661085167316,0.14797322215864855,0.1768412648812887,0.09800682066353979,0.06910214135832236,1.0639328638957137,0.1628423262563644,0.051001944099923736,0.03203222214562805,0.032181769811332236,0.08387718282427903,0.024312063249995745,0.09943927001900636,0.051006739591374396,0.030429484787620514,0.2626118173474916,0.017399293906077126,0.022778476791100885,0.03370410537255068,0.0,0.01492242778137667,0.056633039948875114
HIMACHAL PRADESH,0.029829974307786198,0.048917297156274464,0.07033859721817243,0.1857097542251216,0.09270283048227985,0.012099662633146943,0.0,0.0387121517859229,0.04625903499422212,0.0,0.09093754406459814,0.030513456993052537,0.011775882247888163,0.018117517465286836,0.1249246816795499,0.030318552992606957,0.03105860136906315,0.038034517477915926,0.002680530985617075,0.02380211930165814,0.0,0.028380846278054726,0.09151525200170538
JAMMU & KASHMIR,0.25489899659509285,0.5667777492950525,0.12440249106563928,0.1492154709661128,0.2628507333145087,0.042799493653490915,0.0,0.13122883578422884,0.04316873509491888,0.014010393347429161,0.09151542270073287,0.021647866631246515,0.018592229655785553,0.08010766470135863,0.24879526774688118,0.0,0.023803420368403706,0.0449904897916434,0.032508685067711186,0.002213301045107474,0.0,0.012366891372274608,0.07270026067038834
