STATE/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
ANDHRA PRADESH,0.9134362525780801,0.40264432615568413,0.1861575332471807,0.36970602685882736,0.38073462577792344,0.048266480678484006,0.0018529539064423134,0.06314738114481115,0.2687284480143693,0.2158703697695052,0.02912247289872245,0.19279166351717936,0.4690061785900216,0.2314873138653028,0.34377950328510054,2.0,0.7374300054115124,0.3792812555116028,0.6692605596750026,0.5390301147714874,0.022003717794743017,0.5713159817581698,0.10304238389315756
ARUNACHAL PRADESH,1.6699088145896657,0.6682620208079482,0.08036816709140837,1.0754820478723404,1.1412275598404256,0.5120411503390226,0.13039341771771096,0.3355155482815057,0.5176090354149461,0.2674897984906469,0.0533913058551165,0.3928043735224585,0.14154185800529642,0.09308510638297875,0.5023466833541929,1.3561042874017368,0.0,0.42654033687943266,0.0,0.01808862899816824,0.0,0.0,0.5956843336974667
ASSAM,1.6782172271490035,0.3376989080196789,0.28082524529484176,1.663115089121082,1.8560656115550096,0.3407984762625205,0.11209826750468141,0.2088348856634044,0.3236439190230063,0.20641055430149896,0.16715870207047842,0.4910346240524482,0.19972554567110573,0.2942839582052858,0.5557771430637406,1.0074566702624885,0.4159921638509404,0.3424542102028273,0.01243880111356159,0.4878393174778266,0.0,0.43596508912108173,0.19901334212526
BIHAR,2.0543253747917825,0.9285498511595367,0.46980347758931,0.743092379233759,1.25103458148251,0.4700050643415441,0.1973639404211438,0.46479780938415033,0.1272754548688217,0.11540505436841646,0.1704740866941461,0.5365144364242087,0.24022496900090864,0.11077179344808442,0.39025051442009345,0.6856142843331436,2.177365830458488,0.10277253377753101,0.00553339647908025,0.2529254350967638,0.5657170913278632,0.17626873958911715,1.1042566193420702
CHHATTISGARH,1.2432057078800225,0.49461834703468754,0.10811087423272431,1.3351281691988455,0.20217058816514422,0.09734973686603901,0.02806473636283597,0.14563040889751602,0.4786715033095899,0.15224201170316842,0.03450725075442379,0.08210500791057472,0.09497671374463056,0.21036563550933768,0.3442790620672626,0.6005611360721955,0.3872090969533363,0.6249499129439263,0.14371129652519296,0.18030558316670556,0.0,0.3243408781930498,1.5043774979066729
GOA,1.0574249445899657,0.09450550816127448,0.42621200037192586,1.0049100846262342,0.24208832863187593,0.09051597203924425,0.0,0.14234566561788004,0.6798934785315345,0.4093527399372161,0.0282046050815201,0.7851825732643785,0.2693440682991354,0.0,0.19629967642910484,0.49892852086717787,0.21500249386443285,0.17058062999529858,0.32436737741641086,0.08153915130909124,0.0,0.8042877291960507,0.5168636808461786
GUJARAT,0.5933724601541684,0.1489777379101686,0.04641539972761538,0.18568115986688033,0.4255034358437077,0.13143177637009948,0.020918531775058733,0.18117269116140824,0.28049724097824963,0.2760782956353746,0.02753416556475149,0.5209334812440938,0.1536954580590649,0.24291497975708504,0.21942996352984684,0.7814807472047741,0.1257430982472557,0.11322450198636567,0.0715208092927222,0.38256603946082773,0.0,0.2972187088149124,1.463394598204992
HARYANA,1.054213803385074,0.3779023778810816,0.301442296457032,0.5703585405156537,0.428554471685083,0.05121459265105674,0.5455071465599755,0.10497762247301842,0.3752540489249428,0.2581531601419015,0.03268281331856003,0.4655335584202987,0.26160173756130023,0.17188459177409457,0.14493734878850253,0.7115967169952022,1.4679875999700969,0.16260806732146513,1.0,0.5286787693258368,0.0,0.1987292817679558,1.1221867612558432
HIMACHAL PRADESH,0.5017964349458751,0.2092868411101922,0.1765152538940944,0.7170711301314294,0.39525824476715893,0.003123924590742699,0.0,0.03411591923680192,0.3212783282942816,0.003945144449317706,0.08517975448449663,0.26822029314727674,0.13257821131045586,0.10222294337173457,0.5419820370140594,0.7738845671376023,0.14840509636529245,0.3634674671426254,0.059705071059739816,0.20857542286643319,0.0,0.30135323705987344,1.9999999999999998
JAMMU & KASHMIR,2.1651887256719498,1.7580316803929519,0.24812453229145873,0.594289438912746,1.3738327886838755,0.05087791261166751,0.0,0.10239470312142672,0.3500828995942877,0.09046280909922509,0.0985697096789868,0.1688806568826388,0.18348220902216922,0.31711575668916053,0.9007153425288762,0.0,0.09711181020354956,0.7369756028502666,0.5730148481458555,0.03947727402705322,0.0,0.15771978670190176,1.6352276315878715
JHARKHAND,2.6612842102393297,1.2180100391598134,0.6632118473932055,1.464477042844874,0.5896239543242471,0.7103656863509277,0.2573112260315782,0.4173160723941601,0.2205557988975392,0.19521551329558245,0.1362426683060206,0.361008619867044,0.1317391740513725,0.04007761061102453,0.3168376482562872,0.44482312902370613,2.0000689227337602,0.20622554788638317,0.00438900354187287,0.19080658455804989,2.0,0.10479722637488469,1.1248471814909655
KARNATAKA,0.7463404404054527,0.40604294884725,0.09030674014871011,0.1468953709367354,0.2048999475707795,0.05955498538511471,0.14009202634767562,0.15050860825065648,0.268559368915245,0.1985089403259893,0.10204791387600726,0.12598086333449843,0.22642215621589495,0.11927647675637891,0.1292596171638876,1.3201015223906212,0.5174911257097999,0.19780780321565888,0.02290922548676933,0.1415654925453287,0.0,0.019170220202726324,1.384135863247656
KERALA,0.22540076217942118,0.12592512601278708,0.8244163103603631,0.2665609228550829,0.08833813987022351,0.04775014459224986,0.021208907741251327,0.10332427485996339,0.21399999310030768,0.0,0.11646203616952629,0.11008892093246815,0.33901372998094564,0.19985580389329488,0.21444844989185294,1.418046216153384,0.06814044430636439,0.3427204998798366,0.05880676873489121,0.3159894383513897,0.0,0.0031976928622927184,1.7261968937301775
MADHYA PRADESH,0.6794829576748334,0.43616322377264505,0.17314425460917698,0.8436414241594579,0.1673972783655971,0.028751937563470224,0.10011442179170428,0.13038296191897353,0.3234947323091302,0.14154885300829695,0.022668914969878325,0.09487454305021494,0.06139750090257323,0.038401560444360924,0.2705624788786936,1.192141176568907,0.87226411394923,0.5360713070245395,0.18784365318000598,0.17805943347572842,0.0,0.1693289378108063,1.5705191337694215
MAHARASHTRA,0.8598440662694046,0.27801001955145344,0.1182670489852355,0.4548049653435582,0.23477780668965756,0.13737765903935317,0.2627955960990632,0.21266306154736234,0.4456389513266299,0.4375420842958022,0.06306464882115122,0.29539842618537127,0.2752493442713865,0.2596680695624554,0.3887333699460886,1.2059902217486234,0.407242786801028,0.2533098036324035,0.2248865215902926,0.3267144854768695,0.0,0.43009200122517044,0.22762107193565062
MANIPUR,3.52676246830093,3.0,0.21456873959552342,0.7064423076923076,2.0,0.030379088367254045,0.11604242618191553,0.019905932331967833,0.1074606811441535,0.1009134695500483,0.0847445094160277,0.33612754766600916,0.5260844331791706,0.33136094674556216,2.0,0.5921495273338542,0.0,0.18668639053254438,0.0,0.008048904737646459,0.0,0.1093491124260355,1.021856257242365
MEGHALAYA,3.979647749510763,0.8031349948705568,0.724414437618448,1.7805436643835617,1.2208369006849318,2.0,0.167903852951573,0.7776606954689146,0.4332226220210578,0.41397427538503107,0.0009798027436212307,0.48634893455098926,0.2358650784487937,0.2397260273972603,0.5106768734891217,0.42335214916396957,0.26102186327034743,0.30613584474885847,0.0,0.029115259003900933,0.0,0.23054794520547944,0.20394336358344445
MIZORAM,1.299009900990099,0.4643869673310943,0.2393539075356004,0.7626237623762376,0.3921720297029704,0.2541616799042542,0.0,0.06661589235846661,0.9304170730767585,0.774816771502389,0.0013180553478019073,0.6749174917491748,0.1239830835410401,0.8316831683168318,0.8661619103086781,0.2880497841221057,0.0,0.6872277227722772,0.0,0.0,0.0,0.0,0.0
NAGALAND,4.0,1.1235494788868594,0.9212936227551691,1.0567454268292682,0.9258288871951221,0.5478424015009381,0.0,2.0,0.37453001105297046,0.4592003250084644,0.010367121851309096,0.3810128726287263,0.26724402458388824,0.0,0.30308464849354383,0.28836274834546155,0.0,0.04809451219512195,0.04674318507890962,0.0,0.0,0.2736585365853659,0.1769486621221863
