STATE/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
ANDHRA PRADESH,0.5705063862246993,0.34918977903972115,0.11642714925137562,0.37723250081437404,0.5179118876052331,0.06949187884407786,0.001858945833317228,0.10253542561531223,0.19507402092379095,0.2435840956775557,0.11178259894542547,0.08396057708341718,0.4544938953060838,0.4024173562035316,0.181016229125131,2.0,0.6323885644078712,0.4962326485201892,0.6487426489445541,0.4385310060784705,0.0,0.6249076492745196,0.36431640201328974
ARUNACHAL PRADESH,0.9381844472324409,0.4696682074649208,0.21527770322535444,1.0087045570916537,1.4506069344779025,0.8287064653787913,0.0,0.8471582181259599,0.5172879531086252,0.4225532214730028,0.01743679163034002,0.3855710549258936,0.15655905756016988,0.8474280732345247,0.30038256269777547,1.265489103877253,0.09237305230164682,0.5227246882225843,0.04079753083722942,0.047206860267932624,0.0,0.3381240855974346,0.3423360829769434
ASSAM,0.9913445806314817,0.30949807510274685,0.12061690013178868,1.781406477213955,1.8540939746261116,0.4959224475678698,0.029609819424025446,0.3271237650373501,0.28983677317925577,0.3714339977628748,0.40971156855112617,0.15305795342660225,0.1958499968238487,0.4846930597852219,0.4014810052305737,0.8022664274571034,0.5094657364480952,0.5622151715798273,0.01071480499858085,0.485972818482236,0.0,0.6545413735654827,0.3115805536589845
BIHAR,1.1577148547524814,1.0712743650947614,0.5331020006651169,0.7653989856344199,1.1543537017296517,0.6751366570202888,0.14987081749595593,0.5658577601805139,0.131553956379009,0.18984167986088737,0.546962698057915,0.15182039437739037,0.2038305802809782,0.2081358962896737,0.2624945285156782,0.8392695129113836,2.5007866983779223,0.10021281185430894,0.02463738833880707,0.13687155670308707,2.0,0.2687467397599952,0.9892646054650206
CHHATTISGARH,0.8717969482636588,0.5962209021872458,0.054656910728795964,1.3774040801067828,0.234726656348278,0.24045770845201855,0.057248141474886036,0.2551957011416471,0.3448414849932377,0.18905935992027392,0.13354878219743085,0.04397148991743586,0.10606658509733997,0.15777940102264426,0.1802041626346165,1.0166398643266823,0.4831239246505459,0.6732637989982291,0.14812076511174282,0.12924926567582645,0.1061064574578088,0.46880515086059693,1.1149805610052193
GOA,0.6347217918640167,0.25183029140841695,0.07468951167558424,0.5958862673926194,0.3220996789054866,0.2156366415130385,0.0,0.20256460115806757,0.5288476545124445,0.5028029365065488,0.19056261343012706,0.23026315789473684,0.23585175628482463,0.882032667876588,0.651284899278033,0.46135421398213045,0.0,0.1554485914937268,0.14862222100368194,0.04929999368272053,0.0,1.0,0.6450087619013166
GUJARAT,0.3454390708970079,0.12711789224264589,0.0326586020698319,0.18300968504321347,0.41371964014559004,0.16276058661682477,0.010689660778572424,0.21057804797017177,0.18486833819852147,0.29468531412379306,0.0845374687255453,0.14934860959560892,0.11945673486161053,0.34996528122210097,0.05068317056440198,0.5480932381374544,0.08758381360148537,0.11580273855841756,0.053381592154396855,0.341500936220569,0.0,0.33928171794161144,1.6575264519636566
HARYANA,0.6199774104494297,0.3781444517453829,0.19228900473670582,0.752818843852125,0.5578107176634173,0.1397979099087083,0.4779107356940079,0.21317747237880283,0.3527893257626935,0.45647458029655286,0.15073221274096366,0.21530816290166108,0.2664582886912673,0.14967629531370646,0.0685948232933104,0.6514543070891454,1.0698185354074388,0.18314428681242345,0.4548938015862193,0.3707629585600614,0.0,0.25282537926993337,0.9018890937382366
HIMACHAL PRADESH,0.30409844769035027,0.19450289582940042,0.25145602036658926,0.5397528547303236,0.4405407469640266,0.036299026800178484,0.0,0.05816812327925135,0.24439142771976077,0.030363444502299136,0.28819470964128413,0.15172229435576265,0.09311905451195464,0.06598946001680286,0.30305554844222304,0.6099664189545699,0.04855352829297588,0.399778470702529,0.11079491361638787,0.16209514271874753,0.0,0.3605097767079943,1.8315262706922018
JAMMU & KASHMIR,0.8403641894695755,1.3413332534575764,0.3167666016894938,0.7521489697849923,1.6840969392852785,0.032662114226249706,0.0,0.1414986930934398,0.28150646813122926,0.1211834851171937,0.38389377976620004,0.08579881656804733,0.21051216136340625,0.36368884398903156,0.343502221268065,0.003826853707664446,0.1019405310915369,0.8790332307748082,0.7811509333234639,0.050495656593417926,0.0,0.10102220127262604,1.534923243400978
